x y z
4.89 2.28  b 
4.32 1.7   b 
4.85 2.8   b 
5.44 3.14  b 
4.9  3.52  b 
4.37 3.7   b 
5.77 0.93  b 
4.15 1.75  b 
5.31 2.25  b 
3.58 3.56  b 
4.17 3.15  b 
3.93 2.62  b 
5.01 1.41  b 
4.11 3.17  b 
6.11 2.05  b 
4.06 2.41  b 
4.02 2.68  b 
4.03 3.63  b 
4.26 2.6   b 
4    2.25  b 
4.11 3.7   b 
4.71 2.24  b 
5    4.87  b 
4.18 4.41  b 
4.97 0.67  b 
4.56 2.88  b 
5.91 2.98  b 
4.78 2.76  b 
4.99 2.25  b 
5.01 3.68  b 
5.44 3.24  b 
5.68 2.02  b 
5.37 1.07  b 
5.6  1.16  b 
5.46 2.14  b 
6.7  0.79  b 
4.58 0.62  b 
4.56 -0.01 b 
5.42 0.83  b 
5.52 2.33  b 
5.46 0.84  b 
5.12 3.06  b 
4.81 1.7   b 
4.79 3.56  b 
4.49 1.05  b 
4.85 3.04  b 
4.18 3.93  b 
5.56 4.81  b 
4.73 1.98  b 
6.8  0.87  b 
4.45 1.77  b 
4.13 2.43  b 
4.26 4.44  b 
4.04 2.96  b 
5.15 1.53  b 
5.28 3.4   b 
5.94 0.28  b 
6.16 1.84  b 
3.53 4.12  b 
4.4  4.21  b 
3.99 4.18  b 
5.5  2.04  b 
5.34 1.95  b 
7.59 0.91  b 
4.93 1.84  b 
4.16 4.82  b 
4.88 2.57  b 
4.86 0.12  b 
4.5  2.83  b 
4.44 2.13  b 
4.63 3.35  b 
7.18 -1.84 b 
6.28 1.87  b 
5.1  2.75  b 
7.01 0.46  b 
6.12 1.26  b 
4.55 1.12  b 
4.68 2.14  b 
4.67 2.57  b 
5.33 -0.16 b 
4.1  0.44  b 
4.44 2.9   b 
4.19 3.81  b 
4.36 2.49  b 
8.09 -2.26 b 
3.93 0.66  b 
4.91 3.38  b 
6.15 0.5   b 
3.35 3.79  b 
4.15 1.1   b 
3.65 4.52  b 
4.98 1.17  b 
2.71 3.86  b 
5.91 2.91  b 
5.99 1.24  b 
5.8  0.42  b 
7.66 -0.85 b 
3.95 1.86  b 
4.67 3.11  b 
6.2  0.71  b 
5.9  2.83  b 
5.1  1.74  b 
3.89 2.57  b 
3.74 3.2   b 
5.32 1.56  b 
7.98 -2.61 b 
5.48 3.41  b 
7.02 0.61  b 
5.66 2.39  b 
6.54 1.69  b 
3.9  3.14  b 
4.65 1.56  b 
4.39 2.24  b 
6.4  -0.77 b 
5.14 1.44  b 
5.51 0.99  b 
6.08 0.31  b 
3.16 2.26  b 
5.88 1.67  b 
3.26 4.98  b 
5.7  1.34  b 
5.13 2.36  b 
4.2  4.27  b 
5.93 1.98  b 
5.83 2.97  b 
6.44 0.7   b 
4.78 3.67  b 
5.23 1.09  b 
4.5  2.72  b 
4.07 2.31  b 

